ORDER_ITEM_SEQ,ORDER_ID,ITEM_CD,ORD_QTY,UNIT_PRC
1,U260101-0001,UM-TS-001,2,29000
2,U260101-0001,UM-AC-005,1,31000
3,U260215-0002,UM-OU-002,1,156000
4,U260610-0003,UM-TS-003,1,47000
5,U260722-0004,UM-PT-001,1,79000
6,U260722-0004,UM-TS-001,1,29000
7,U251003-0005,UM-SH-002,1,65000
8,U251108-0006,UM-OU-001,1,210000
9,U251201-0007,UM-PT-002,1,98000
10,U260305-0008,UM-OU-003,1,320000
11,U260410-0009,UM-TS-002,2,39000
12,U260518-0010,UM-SH-001,1,145000
13,U260801-0011,UM-PT-003,1,92000
14,U260130-0012,UM-OU-002,1,134000
15,U260202-0013,UM-TS-003,1,56000
16,U260728-0014,UM-AC-001,1,39000
17,U260805-0015,UM-SH-003,1,67000
