ORDER_ID,MBR_ID,ORDER_DTM,PAY_AMT,ORDER_STATUS
U260101-0001,20001,2026-01-14 20:11:00,89000,COMPLETE
U260215-0002,20001,2026-02-15 12:05:00,156000,COMPLETE
U260610-0003,20001,2026-06-10 18:44:00,47000,COMPLETE
U260722-0004,20002,2026-07-22 09:31:00,112000,COMPLETE
U251003-0005,20003,2025-10-03 14:20:00,65000,COMPLETE
U251108-0006,20005,2025-11-08 11:15:00,210000,COMPLETE
U251201-0007,20005,2025-12-01 16:40:00,98000,RETURNED
U260305-0008,20007,2026-03-05 19:02:00,320000,COMPLETE
U260410-0009,20007,2026-04-10 10:55:00,78000,COMPLETE
U260518-0010,20007,2026-05-18 21:17:00,145000,COMPLETE
U260801-0011,20007,2026-08-01 13:25:00,92000,COMPLETE
U260130-0012,20009,2026-01-30 15:33:00,134000,COMPLETE
U260202-0013,20009,2026-02-02 09:48:00,56000,CANCELED
U260728-0014,20006,2026-07-28 22:09:00,39000,COMPLETE
U260805-0015,20004,2026-08-05 11:41:00,67000,CANCELED
